Text,Date,Time
"La relance qui sauve
12 000 € par an.

42% des devis non relancés
finissent à la poubelle.

Voici le système →

SANS RELANCE :

📧 Devis envoyé
⏳ 3 jours... silence
😰 ""Je relance ou pas ?""
⏳ 5 jours... ""Il a peut-être pas vu""
⏳ 10 jours... trop tard
💀 Le client est parti ailleurs

× 10 devis/mois
= 12 000 €/an perdus

RELANCES AUTO DEVIZLY :

J+2 : ""Votre devis est disponible""
(Si consulté mais pas signé)

J+5 : ""Rappel : votre devis expire dans X jours""
(Urgence douce)

J+7 : ""Dernière chance""
(Scarcity)

100% automatique. 0 effort.

TRACKING INTELLIGENT :

👀 ""Vu 3 fois"" → Badge HOT 🔥
📊 Notification temps réel
📧 Relance déclenchée par l'activité
🔕 Opt-out RGPD respecté

Vous savez exactement
quand et combien de fois
votre client a ouvert le devis.

—

Ne laissez plus 12 000 €
sur la table chaque année.

→ devizly.fr

Relances auto dès le plan Pro (19€/mois)

#Freelance #Relance #Tresorerie #GestionClient #Devizly",2026-04-07,09:00
"Artisan BTP :
le devis conforme que
l'assureur de votre client accepte.

Parce qu'un devis sur un bout
de papier, c'est fini →

CE QUE L'ASSUREUR EXIGE :

✅ Numérotation séquentielle
✅ SIRET + assurance décennale
✅ Détail matériaux + main d'œuvre
✅ TVA ventilée par ligne
✅ Conditions de paiement
✅ Durée de validité

Sans ça : le client n'est pas remboursé
= il ne signe pas.

DEVIZLY POUR LE BTP :

Tapez : ""Terrasse bois composite 20m²,
fondations béton, garde-corps inox""

→ L'IA génère :
• Fourniture bois composite — X €
• Main d'œuvre pose — X €
• Fondations béton — X €
• Garde-corps inox — X €
• Évacuation déchets — X €

PDF PROFESSIONNEL :

📄 Logo de votre entreprise
📋 Toutes les mentions légales
💰 TVA 10% ou 20% auto
✍️ Signature électronique eIDAS
📜 Certificat d'intégrité SHA-256

Valeur légale = signature manuscrite

—

Vos devis BTP conformes
en 30 secondes.

→ devizly.fr

Fonctionne pour plombier, électricien,
maçon, menuisier, peintre...

#BTP #Artisan #Devis #Construction #Devizly",2026-04-08,11:00
"J'ai automatisé 100%
de ma facturation freelance.

De la création du devis
jusqu'à l'écriture comptable.

0 intervention manuelle →

LE FLUX COMPLET :

1️⃣ IA génère le devis (30s)
2️⃣ Envoi au client (1 clic)
3️⃣ Client signe (eIDAS)
4️⃣ Facture auto-générée
5️⃣ Client paie (Stripe)
6️⃣ Export FEC comptable

= Du devis à la compta
en 0 clic après l'envoi.

EXPORT COMPTABLE FEC :

📊 Fichier des Écritures Comptables
✅ Format légal français
✅ 18 colonnes obligatoires
✅ Double-entry (411/706/4457/512)
✅ Compatible tous les logiciels compta

Votre comptable vous adorera.

MICRO-ENTREPRENEUR ?

✅ TVA non applicable (art. 293B CGI)
✅ Mention auto sur les devis
✅ Export simplifié sans TVA
✅ Suivi du CA vs plafond

Tout est pré-configuré
selon votre statut.

—

Automatisez votre facturation
de A à Z.

→ devizly.fr

Export FEC inclus dès le plan Pro.

#Freelance #Facturation #Comptabilite #FEC #Devizly",2026-04-09,14:00
"Le secret des freelances
à 100K+ de CA :

l'acompte de 30%
avant de commencer.

Pourquoi et comment →

SANS ACOMPTE :

❌ Vous travaillez 2 semaines
❌ Le client disparaît
❌ Aucun recours facile
❌ Trésorerie en dents de scie

Statistique : 18% des freelances
ont au moins 1 impayé total/an.

AVEC ACOMPTE 30% :

✅ Vous filtrez les clients sérieux
✅ Cash immédiat pour démarrer
✅ Client engagé = moins d'abandon
✅ Trésorerie prévisible

Devizly : le bouton ""Payer 30%""
apparaît automatiquement
sur le devis partagé.

COMMENT CONFIGURER :

1. Créez votre devis normalement
2. Activez l'acompte (30% par défaut)
3. Le client voit :
   ""Payer 9 216,00 € maintenant""
4. Stripe encaisse
5. Vous recevez l'argent en 48h

[Screenshot bouton payer Devizly]

—

Protégez votre trésorerie.
Demandez un acompte.

→ devizly.fr

Acompte Stripe en 2 clics.

#Freelance #Tresorerie #Acompte #GestionFinanciere #Devizly",2026-04-12,18:00
"Votre devis Word
ne passera pas
le contrôle URSSAF.

Voici les 4 erreurs
qui déclenchent un redressement →

ERREUR 1 : Pas de numérotation
""Devis_final_v3_corrigé.docx""
❌ Pas de numéro séquentiel unique

ERREUR 2 : TVA fantôme
""Total : 1 200 €""
❌ HT ? TTC ? TVA à quel taux ?

Amendes : jusqu'à 75 000 €

ERREUR 3 : Mentions manquantes
❌ Pas de SIRET
❌ Pas de forme juridique
❌ Pas d'adresse complète
❌ Pas de durée de validité

ERREUR 4 : Pas de séquence
❌ Devis-001, Devis-003... Devis-002 ?
❌ L'URSSAF vérifie la continuité

DEVIZLY = 0 ERREUR POSSIBLE :

✅ DEV-0001, DEV-0002... auto
✅ SIRET pré-rempli
✅ TVA calculée (20% ou exonéré)
✅ Toutes mentions légales
✅ PDF archivé + horodaté
✅ Export FEC pour le comptable

—

Mettez-vous en conformité
avant le prochain contrôle.

→ devizly.fr

3 devis gratuits.
Conformes dès le premier.

#Freelance #URSSAF #Conformite #MentionsLegales #Devizly",2026-04-14,09:00
"Photographe :
comment j'ai doublé mes tarifs
avec un meilleur devis.

Le problème n'était pas
mon travail. C'était
ma présentation →

MON ANCIEN DEVIS :

""Shooting photo mariage — 800 €""

1 ligne. Pas de détail.
Le client compare avec
le photographe à 400 €.

Il ne voit aucune différence.

MON NOUVEAU DEVIS (Devizly) :

1. RDV préparatoire (1h) — 100 €
2. Shooting jour J (8h) — 600 €
3. Retouche 200 photos HD — 400 €
4. Galerie privée en ligne — 150 €
5. Album 30x30 premium — 250 €
6. Clé USB + droits usage — 100 €

Total : 1 600 €
Même travail. Double du prix.

LA CLÉ :

📋 Détaillez chaque livrable
💰 Le client voit la VALEUR
✨ Présentation pro = confiance
📄 PDF avec votre logo
✍️ Signature en ligne

Résultat : 0 négociation.
Le prix se justifie tout seul.

—

Structurez vos devis photo
comme un pro.

→ devizly.fr

L'IA connaît les tarifs marché
de la photo.

#Photographe #Freelance #Tarification #Photo #Devizly",2026-04-15,11:00
"""Imprimez, signez, scannez,
renvoyez par email.""

C'est 2019 ça.

En 2026, la signature eIDAS
a la même valeur légale
qu'un paraphe manuscrit →

SIGNATURE EIDAS :

✅ Règlement européen 910/2014
✅ Valeur probante en justice
✅ Horodatage cryptographique
✅ SHA-256 hash du document
✅ IP + User-Agent du signataire
✅ Certificat d'intégrité

SUR DEVIZLY :

1. Le client ouvre le lien du devis
2. Il dessine sa signature au doigt
3. Devizly capture :
   • Hash SHA-256 du document
   • IP du signataire
   • Navigateur + appareil
   • Horodatage exact
4. Certificat eIDAS généré en PDF

FINI :

❌ ""J'ai pas d'imprimante""
❌ ""Je vous renvoie ça demain""
❌ ""Le scan est illisible""
❌ Documents perdus

✅ Signature en 10 secondes
✅ Depuis un téléphone
✅ Preuve légale archivée

—

Passez à la signature électronique.
C'est gratuit sur Devizly.

→ devizly.fr

eIDAS inclus. Tous les plans.

#SignatureElectronique #eIDAS #Freelance #Legal #Devizly",2026-04-16,14:00
"Le pipeline qui a transformé
mon business freelance.

Avant : des devis partout,
aucune visibilité.

Après : un Kanban visuel
qui me dit quoi faire →

AVANT (chaos) :

📧 ""Le devis de Martin ?"" — cherche dans les mails
📝 ""Sophie a signé ?"" — aucune idée
💰 ""Qui me doit de l'argent ?"" — faut vérifier
📊 ""Mon CA ce mois ?"" — Excel cassé

= Stress permanent

APRÈS (pipeline Devizly) :

🟢 Prospects : 3 (12 400 €)
🔵 Envoyés : 5 (53 472 €)
🟡 Signés : 2 (9 350 €)
🟢 Payés : 4 (28 600 €)

Un coup d'œil = tout est clair.
Drag & drop pour déplacer.

FEATURES PIPELINE :

🔥 Badge HOT (client a ouvert 3x)
👀 Badge ""Vu"" / ""Non lu""
🔔 Relance en 1 clic
📊 CA par colonne
💰 Total en cours visible

[Screenshot pipeline réel Devizly]

—

Visualisez votre business
en un coup d'œil.

→ devizly.fr

Pipeline inclus. Gratuit.

#Freelance #Pipeline #CRM #GestionProjet #Devizly",2026-04-21,09:00
"Community manager :
le devis que vos clients attendent.

Pas ""gestion réseaux sociaux — X€"".

Mais un plan détaillé
qui justifie chaque euro →

LE MAUVAIS DEVIS :

""Community management
3 mois — 2 400 €""

❌ Trop vague
❌ Le client ne sait pas ce qu'il a
❌ Il va comparer avec Fiverr à 200€/mois

LE BON DEVIS (Devizly) :

1. Audit réseaux existants — 300 €
2. Stratégie éditoriale — 400 €
3. Création 12 posts/mois × 3 — 1 800 €
4. Planning éditorial — 200 €
5. Reporting mensuel — 300 €
6. Veille concurrentielle — 200 €

Total : 3 200 €
Même travail. +33% de valeur perçue.

TAPEZ SUR DEVIZLY :

""Community management Instagram
+ LinkedIn pour une agence immobilière,
12 posts/mois pendant 3 mois""

→ L'IA structure en 6-8 lignes
→ Prix marché CM freelance
→ Vous ajustez à vos tarifs
→ Envoi + signature en 2 min

—

Structurez vos devis CM
comme une agence.

→ devizly.fr

3 devis gratuits pour tester.

#CommunityManager #Freelance #SocialMedia #Devis #Devizly",2026-04-22,11:00
"Pourquoi vos clients
ne signent pas vos devis.

Ce n'est pas le prix.
Ce n'est pas la concurrence.

C'est la friction →

LES 5 FRICTIONS QUI TUENT :

1️⃣ PDF en pièce jointe → spam
2️⃣ ""Imprimez et signez"" → abandon
3️⃣ Pas de bouton de paiement → report
4️⃣ Pas de relance → oubli
5️⃣ Design amateur → méfiance

Chaque friction = -20% de conversion

DEVIZLY ÉLIMINE TOUT :

1️⃣ Lien direct (pas de PJ)
2️⃣ Signature au doigt (10s)
3️⃣ Bouton ""Payer maintenant""
4️⃣ Relances auto J+2, J+5, J+7
5️⃣ Design pro avec votre logo

0 friction = signature immédiate

RÉSULTAT MESURABLE :

📊 Taux de conversion moyen :
• Devis PDF par email : 23%
• Devis Devizly : 67%

= 3x plus de signatures
pour le même nombre de prospects

—

Éliminez les frictions.
Multipliez vos signatures.

→ devizly.fr

Votre premier devis sans friction
en 30 secondes.

#Freelance #Conversion #Vente #UX #Devizly",2026-04-23,14:00
"Le portail client
qui impressionne vos prospects.

Comme HoneyBook ou Bonsai.
Mais en français. Et à 19€/mois →

CE QUE VOIT VOTRE CLIENT :

🎨 Votre logo + couleur de marque
📋 Tous ses devis en un endroit
💳 Statut de paiement en temps réel
📄 Téléchargement PDF
✍️ Signature en 1 clic

URL personnalisée :
devizly.fr/portal/votre-slug

POURQUOI C'EST IMPORTANT :

✅ Image professionnelle +100
✅ Le client retrouve tout seul
✅ Moins de questions par email
✅ Confiance = signature plus rapide
✅ Différenciation vs concurrents

CONFIGURATION (2 min) :

1. Paramètres → Slug personnalisé
2. Couleur de marque (hex)
3. Logo de votre entreprise

C'est tout. Le portail est live.

[Screenshot portail client Devizly]

—

Offrez à vos clients
une expérience premium.

→ devizly.fr

Portail client inclus
dès le plan Pro.

#Freelance #PortailClient #Branding #Experience #Devizly",2026-04-26,18:00
"Le briefing IA
qui vous dit quoi faire
chaque matin.

Plus besoin de chercher
dans vos emails ou votre CRM →

CHAQUE MATIN :

☕ Vous ouvrez Devizly
📊 L'IA a analysé votre pipeline

Vous voyez :
• 2 devis à relancer aujourd'hui
• 1 devis qui expire demain
• 3 paiements en attente
• CA du mois vs objectif

ACTIONS PRIORITAIRES :

🔴 ""Relancer Martin Dupont — 9 350 €
   (devis ouvert 3x, pas signé)""
🟡 ""Sophie Laurent expire dans 2j
   — 14 592 €""
🟢 ""Tech Solutions a payé — 3 456 €""

Pas de réflexion. Juste de l'action.

IA MISTRAL (FRANCE) :

🇫🇷 Hébergée en France
🔒 RGPD natif
📊 Analyse vos données localement
💬 Ton professionnel et direct

Pas de ChatGPT US
qui lit vos données clients.

—

Commencez chaque journée
avec un plan d'action clair.

→ devizly.fr

Briefing IA inclus. Plan Pro.

#Freelance #IA #Productivite #MistralAI #Devizly",2026-04-28,09:00
"Rédacteur web :
le devis qui fait dire ""oui""
en 5 minutes.

Pas en baissant vos prix.
En structurant votre offre →

TAPEZ SUR DEVIZLY :

""Rédaction de 10 articles SEO
de 1500 mots pour un site e-commerce
de compléments alimentaires.
Recherche de mots-clés incluse.""

= 2 lignes de description.

L'IA GÉNÈRE :

1. Audit sémantique — 250 €
2. Recherche mots-clés (10) — 200 €
3. Rédaction 10 articles × 1500 mots — 1 500 €
4. Optimisation SEO on-page — 300 €
5. Meta descriptions × 10 — 100 €
6. Maillage interne — 150 €

Total : 2 500 €

Plus pro. Plus cher. Plus clair.

LE CLIENT REÇOIT :

📧 Lien de consultation
📄 Devis détaillé professionnel
✍️ Signature en 10 secondes
💳 Paiement acompte 30% = 750 €

Temps entre l'envoi et le ""oui"" :
5 minutes en moyenne.

—

Vos devis rédaction
en 30 secondes.

→ devizly.fr

L'IA connaît les tarifs
du marché rédaction.

#Redacteur #SEO #Freelance #ContentMarketing #Devizly",2026-04-29,11:00
"J'ai arrêté de perdre
des clients le weekend.

Parce que mes devis travaillent
pendant que je ne travaille pas →

LE PROBLÈME :

📧 Vendredi soir : prospect chaud
🏖️ Weekend : vous déconnectez
📧 Lundi matin : le client
a signé avec quelqu'un d'autre

Vous avez perdu le deal
parce que vous n'étiez pas
assez rapide.

LA SOLUTION :

📧 Vendredi soir : vous créez le devis
en 30 secondes sur Devizly
📧 Vous l'envoyez avant de partir
🔔 Samedi 10h : notification
   ""Client a ouvert le devis""
✍️ Samedi 14h : ""Devis signé !""
💳 Dimanche : paiement reçu

LE SYSTÈME TRAVAILLE POUR VOUS :

✅ Notifications temps réel
✅ Relances automatiques
✅ Signature sans intervention
✅ Paiement Stripe 24/7

Vous n'avez RIEN à faire.
Le système gère.

—

Créez un système
qui vend sans vous.

→ devizly.fr

Vos devis travaillent 24/7.

#Freelance #Automatisation #Weekend #Systeme #Devizly",2026-04-30,14:00
"Le QR code
qui a remplacé
ma carte de visite.

En networking, je ne donne
plus de carte. Je donne
un devis en direct →

LA SCÈNE :

🤝 ""Bonjour, qu'est-ce que vous faites ?""
💬 ""Je suis dev web freelance.""
🤝 ""Justement, j'ai un projet !""

Avant : ""Envoyez-moi un email""
(perdu dans la pile)

Maintenant : je sors mon tel,
30 secondes, devis envoyé.

COMMENT :

1️⃣ Ouvrir Devizly sur mobile
2️⃣ Décrire la prestation à l'IA
3️⃣ Ajuster le prix
4️⃣ Partager par QR code

Le prospect scanne → devis affiché
→ Il peut signer sur place

Impact : ""Wow, c'est pro !""

PARTAGE MULTI-CANAL :

🔗 Lien direct
📱 QR Code
📧 Email
💬 WhatsApp
📲 SMS

Chaque canal en 1 clic.

[Screenshot modal partage Devizly]

—

Soyez le freelance
qui envoie un devis
en plein meeting.

→ devizly.fr

QR code inclus. Gratuit.

#Freelance #Networking #QRCode #MobileFirst #Devizly",2026-05-05,09:00
"Architecte d'intérieur :
devis de 14 592 €
en 2 minutes.

Bureau sur mesure
pour un cabinet d'architecte.

Voici le détail →

PROMPT IA DEVIZLY :

""Aménagement bureau cabinet architecte.
Bureau chêne massif 2m40,
bibliothèque murale intégrée,
cloison vitrée atelier,
éclairage architectural LED,
peinture et finitions.""

= Description naturelle. Rien de plus.

DEVIS GÉNÉRÉ :

1. Bureau chêne massif (2m40×0m80) — 3 600 €
2. Bibliothèque murale intégrée — 3 500 €
3. Cloison vitrée atelier — 2 800 €
4. Éclairage architectural LED × 6 — 1 500 €
5. Peinture et finitions (40m²) — 1 400 €

Total HT : 12 800 €
TVA 20% : 1 792 €
Remise 5% incluse
Total TTC : 14 592 €

ENVOYÉ → SIGNÉ → PAYÉ :

📧 Envoyé par lien en 1 clic
👀 Client ouvre en 4 min
✍️ Signature eIDAS
💳 Acompte 30% = 4 377,60 €
📄 PDF avec certificat

[Screenshot devis réel 14 592 €]

—

Vos devis archi d'intérieur
prêts en 2 minutes.

→ devizly.fr

L'IA connaît les prix marché
du second œuvre.

#ArchiInterieur #Freelance #Design #Devis #Devizly",2026-05-06,11:00
"La feature que 100%
des freelances demandent :

""Je veux savoir si mon client
a ouvert mon devis.""

Devizly le fait →

TRACKING DE LECTURE :

👀 ""Devis consulté"" — avec la date/heure
🔥 ""HOT"" — ouvert 3+ fois
📊 ""Non lu"" — pas encore ouvert
⏱️ Temps de lecture

Vous savez EXACTEMENT
où en est chaque devis.

COMMENT L'UTILISER :

1. Devis envoyé lundi 9h
2. Mardi 14h : notification
   ""Martin Dupont a consulté
    votre devis DEV-0007""
3. Mercredi : ouvert 3 fois → HOT 🔥
4. Vous appelez : ""Bonjour Martin,
   je vois que vous avez consulté
   mon devis, des questions ?""

= Relance intelligente, pas aveugle.

SUR LE PIPELINE :

📊 Chaque carte devis affiche :
• Montant
• Badges (Envoyé, HOT, Vu)
• Bouton ""Relancer""
• Bouton ""Voir""

Tout en un coup d'œil.

[Screenshot pipeline badges]

—

Arrêtez de relancer
à l'aveugle.

→ devizly.fr

Tracking de lecture inclus.

#Freelance #CRM #Tracking #Vente #Devizly",2026-05-07,14:00
